newid,pid,grp,classe,storia,mod,sex,age,score,n,dur,hz,good,pct_caption,pct_word,pct_image,pct_band,pct_face,pct_mouth,pct_eyes,pct_none,pct_face_only,pct_nose
IT01,F7,IT,5,anguille,images,M,11,80,1254,125.4,10.0,True,62.0,7.2,0.9,54.0,4.6,2.2,0.0,33.3,2.2,0.2
IT01,F7,IT,5,orso,text,M,11,64.3,1666,167.2,10.0,True,79.7,68.4,0.0,11.3,9.2,2.1,0.0,11.2,7.1,0.0
IT02,F8,IT,4,delfino,images,F,9,78.6,1496,149.3,10.0,True,87.6,47.9,19.9,19.8,10.6,5.8,1.5,1.7,2.6,0.7
IT02,F8,IT,4,panda,text,F,9,92.9,1195,120.4,9.9,True,8.9,2.3,0.0,6.5,1.5,0.2,0.0,89.6,1.3,0.0
IT03,F9,IT,4,delfino,images,F,9,14.3,1386,149.3,9.3,True,71.9,34.9,10.5,26.4,22.8,0.4,0.9,5.3,21.4,0.0
IT03,F9,IT,4,panda,text,F,9,14.3,1174,120.4,9.7,True,88.1,71.4,0.0,16.7,9.2,3.6,0.9,2.7,3.3,1.4
IT04,F11,IT,1,tappeto,text,M,7,100,18,8.9,2.0,False,100.0,38.9,0.0,61.1,0.0,0.0,0.0,0.0,0.0,0.0
IT04,F11,IT,1,volpe e boscaiolo,images,M,7,90,753,75.0,10.0,True,91.5,44.9,15.3,31.3,7.2,1.1,0.0,1.3,6.1,0.0
IT05,F13,IT,2,tappeto,text,F,7,90,680,67.3,10.1,True,48.7,36.5,0.0,12.2,26.5,0.0,3.5,24.9,22.8,0.1
IT05,F13,IT,2,volpe e boscaiolo,images,F,7,90,752,75.0,10.0,True,44.9,6.1,1.3,37.5,0.3,0.0,0.0,54.8,0.3,0.0
IT06,F14,IT,3,gatta,images,F,9,83.3,1196,118.8,10.1,True,90.3,41.2,41.2,7.9,9.2,5.6,0.3,0.5,2.6,0.7
IT06,F14,IT,3,sbadiglio,text,F,9,60,1014,101.4,10.0,True,82.9,72.9,0.0,10.1,14.6,10.5,1.3,2.5,1.6,1.3
IT07,F15,IT,4,delfino,images,F,9,78.6,1430,149.3,9.6,True,43.6,2.1,0.6,40.9,0.2,0.0,0.0,56.2,0.2,0.0
IT07,F15,IT,4,panda,text,F,9,42.9,651,120.0,5.4,True,77.4,63.6,0.0,13.8,20.3,13.4,0.0,2.3,6.9,0.0
IT08,F16,IT,4,delfino,images,M,9,64.3,1173,117.1,10.0,True,86.0,40.2,32.1,13.7,9.0,3.2,4.3,4.9,1.4,0.3
IT08,F16,IT,4,panda,text,M,9,64.3,1037,106.7,9.7,True,76.1,66.2,0.0,9.8,6.4,1.6,3.6,17.6,0.7,0.5
IT09,F17,IT,2,tappeto,text,M,8,90,637,67.3,9.5,True,0.0,0.0,0.0,0.0,61.1,2.7,12.1,38.9,44.7,1.6
IT09,F17,IT,2,volpe e boscaiolo,images,M,8,50,733,75.0,9.8,True,55.4,34.9,12.6,7.9,31.1,12.3,7.4,13.5,7.2,4.2
IT10,F18,IT,1,tappeto,text,F,9,100,674,67.1,10.0,True,22.0,19.3,0.0,2.7,72.0,20.8,15.0,6.1,31.8,4.5
IT10,F18,IT,1,volpe e boscaiolo,images,F,9,80,738,75.0,9.8,True,42.0,14.4,19.5,8.1,55.3,34.4,4.2,2.7,12.2,4.5
IT11,F20,IT,2,tappeto,text,F,7,80,647,67.3,9.6,True,61.5,44.4,0.0,17.2,34.0,20.2,6.2,4.5,2.8,4.8
IT11,F20,IT,2,volpe e boscaiolo,images,F,7,100,724,75.0,9.7,True,85.6,44.2,25.6,15.9,13.4,2.5,3.5,1.0,2.3,5.1
IT12,F21,IT,1,tappeto,text,F,6,40,501,67.3,7.4,True,41.7,34.7,0.0,7.0,28.3,8.6,11.2,29.9,7.4,1.2
IT12,F21,IT,1,volpe e boscaiolo,images,F,6,50,678,75.0,9.0,True,100.0,45.1,18.1,36.7,0.0,0.0,0.0,0.0,0.0,0.0
IT13,F22,IT,5,anguille,images,M,10,90,1250,125.4,10.0,True,80.5,43.5,31.4,5.6,15.6,6.2,1.5,3.9,5.6,2.2
IT13,F22,IT,5,orso,text,M,10,50,1674,167.2,10.0,True,59.9,50.7,0.0,9.2,18.5,7.7,0.7,21.7,8.2,1.9
IT14,F23,IT,1,tappeto,text,M,7,100,675,67.3,10.0,True,78.1,56.1,0.0,21.9,20.4,10.7,1.9,1.5,7.0,0.9
IT14,F23,IT,1,volpe e boscaiolo,images,M,7,80,119,50.5,2.4,False,71.4,17.6,49.6,4.2,28.6,0.8,21.0,0.0,6.7,0.0
IT15,F24,IT,1,tappeto,text,M,6,90,665,67.3,9.9,True,34.4,21.2,0.0,13.2,54.3,15.3,24.1,11.3,8.4,6.5
IT15,F24,IT,1,volpe e boscaiolo,images,M,6,40,753,75.0,10.0,True,76.6,18.9,46.2,11.6,22.7,7.6,8.0,0.7,4.5,2.7
IT16,F26,IT,1,tappeto,text,M,7,70,576,67.3,8.6,True,41.1,27.8,0.0,13.4,29.9,0.2,0.0,29.0,29.7,0.0
IT16,F26,IT,1,volpe e boscaiolo,images,M,7,100,752,75.0,10.0,True,79.0,27.0,45.9,6.1,18.4,4.0,8.8,2.7,3.1,2.5
IT17,F31,IT,1,tappeto,text,F,6,100,670,67.3,10.0,True,19.9,17.3,0.0,2.5,0.6,0.0,0.0,79.6,0.6,0.0
IT17,F31,IT,1,volpe e boscaiolo,images,F,6,80,738,75.0,9.8,True,82.2,41.6,34.0,6.6,16.5,9.8,2.8,1.2,3.4,0.5
IT18,F32,IT,1,tappeto,text,M,6,90,256,67.3,3.8,False,38.3,24.6,0.0,13.7,28.5,3.1,9.4,33.2,14.1,2.0
IT18,F32,IT,1,volpe e boscaiolo,images,M,6,60,627,75.0,8.4,True,78.9,22.3,43.5,13.1,14.8,3.0,4.6,6.2,6.4,0.8
IT19,F33,IT,1,tappeto,text,M,7,60,137,23.3,5.9,False,16.1,8.0,0.0,8.0,49.6,13.1,10.9,34.3,18.2,7.3
IT19,F33,IT,1,volpe e boscaiolo,images,M,7,90,740,75.0,9.9,True,11.8,2.2,1.9,7.7,17.2,8.8,2.2,71.1,5.8,0.4
IT20,F40,IT,1,tappeto,text,M,6,100,496,67.3,7.4,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
IT20,F40,IT,1,volpe e boscaiolo,images,M,6,40,642,75.0,8.6,True,48.0,19.9,14.6,13.4,19.9,0.6,1.4,32.1,17.9,0.0
IT21,F41,IT,1,tappeto,text,M,7,80,676,67.3,10.0,True,93.6,81.2,0.0,12.4,6.2,0.0,0.0,0.1,6.2,0.0
IT21,F41,IT,1,volpe e boscaiolo,images,M,7,60,751,75.0,10.0,True,83.2,53.1,17.3,12.8,12.8,0.0,0.0,4.0,12.8,0.0
TI01,B1,TI,2,tappeto,images,M,7,70,675,67.2,10.0,True,89.8,23.1,58.4,8.3,10.1,4.1,1.3,0.1,3.0,1.6
