newid,pid,grp,sex,age,classe,storia,mod,q,correct,blank,indiretta,t0,t1,n_win,incluso,rec_good,n_anchor,pct_anchor,pct_caption,pct_word,pct_image,pct_face,pct_none,any_anchor
IT01,F7,IT,M,11,5,anguille,images,1,1,0,0,14.24,25.66,114,1,1,0,0.0,77.2,0.9,0.9,0.0,22.8,0
IT01,F7,IT,M,11,5,anguille,images,2,0,0,0,45.1,53.26,81,1,1,6,7.4,84.0,7.4,0.0,0.0,16.0,1
IT01,F7,IT,M,11,5,anguille,images,3,1,0,0,51.87,59.1,72,1,1,0,0.0,55.6,9.7,0.0,6.9,37.5,0
IT01,F7,IT,M,11,5,anguille,images,4,1,0,0,57.38,64.94,75,1,1,2,2.7,54.7,1.3,4.0,17.3,28.0,1
IT01,F7,IT,M,11,5,anguille,images,5,1,0,0,72.61,82.97,104,1,1,54,51.9,88.5,51.0,1.0,0.0,11.5,1
IT01,F7,IT,M,11,5,anguille,images,6,1,0,0,87.66,93.7,61,1,1,0,0.0,62.3,0.0,0.0,0.0,37.7,0
IT01,F7,IT,M,11,5,anguille,images,7,1,0,0,98.71,105.09,64,1,1,11,17.2,81.2,17.2,0.0,0.0,18.8,1
IT01,F7,IT,M,11,5,anguille,images,8,0,0,0,75.17,81.0,58,1,1,19,32.8,86.2,46.6,1.7,0.0,13.8,1
IT01,F7,IT,M,11,5,anguille,images,9,1,0,0,52.95,60.87,80,1,1,2,2.5,42.5,3.8,1.2,16.2,41.2,1
IT01,F7,IT,M,11,5,anguille,images,10,1,0,0,57.38,64.94,75,1,1,2,2.7,54.7,1.3,4.0,17.3,28.0,1
IT01,F7,IT,M,11,5,orso,text,1,1,0,0,15.26,30.72,154,1,1,94,61.0,98.1,89.6,0.0,1.3,0.6,1
IT01,F7,IT,M,11,5,orso,text,2,1,0,0,33.24,47.45,142,1,1,96,67.6,95.8,89.4,0.0,4.2,0.0,1
IT01,F7,IT,M,11,5,orso,text,3,1,0,0,43.02,59.06,161,1,1,43,26.7,73.9,70.2,0.0,19.3,6.8,1
IT01,F7,IT,M,11,5,orso,text,4,1,0,0,45.83,59.06,132,1,1,24,18.2,68.2,65.9,0.0,23.5,8.3,1
IT01,F7,IT,M,11,5,orso,text,5,1,0,0,59.7,69.99,103,1,1,15,14.6,36.9,35.9,0.0,37.9,25.2,1
IT01,F7,IT,M,11,5,orso,text,6,1,0,0,73.93,81.87,80,1,1,45,56.2,100.0,72.5,0.0,0.0,0.0,1
IT01,F7,IT,M,11,5,orso,text,7,1,0,0,83.14,89.82,66,1,1,15,22.7,93.9,45.5,0.0,6.1,0.0,1
IT01,F7,IT,M,11,5,orso,text,8,1,0,0,88.99,96.83,79,1,1,42,53.2,100.0,53.2,0.0,0.0,0.0,1
IT01,F7,IT,M,11,5,orso,text,9,0,0,0,105.73,115.94,103,1,1,78,75.7,100.0,93.2,0.0,0.0,0.0,1
IT01,F7,IT,M,11,5,orso,text,10,0,0,0,117.25,131.91,146,1,1,73,50.0,79.5,72.6,0.0,9.6,11.0,1
IT01,F7,IT,M,11,5,orso,text,11,1,0,0,131.97,144.79,128,1,1,70,54.7,75.0,68.8,0.0,15.6,9.4,1
IT01,F7,IT,M,11,5,orso,text,12,0,0,1,138.4,148.68,103,1,1,67,65.0,90.3,83.5,0.0,6.8,2.9,1
IT01,F7,IT,M,11,5,orso,text,13,0,0,0,131.97,141.85,99,1,1,43,43.4,71.7,65.7,0.0,17.2,11.1,1
IT01,F7,IT,M,11,5,orso,text,14,1,0,0,152.39,164.99,126,1,1,49,38.9,45.2,42.1,0.0,11.1,43.7,1
IT02,F8,IT,F,9,4,delfino,images,1,0,0,0,4.68,9.69,50,1,1,27,54.0,86.0,24.0,54.0,14.0,0.0,1
IT02,F8,IT,F,9,4,delfino,images,2,1,0,0,29.66,38.75,91,1,1,56,61.5,100.0,69.2,16.5,0.0,0.0,1
IT02,F8,IT,F,9,4,delfino,images,3,1,0,0,24.49,33.5,90,1,1,60,66.7,100.0,60.0,21.1,0.0,0.0,1
IT02,F8,IT,F,9,4,delfino,images,4,1,0,0,39.07,46.82,77,1,1,21,27.3,85.7,49.4,15.6,14.3,0.0,1
IT02,F8,IT,F,9,4,delfino,images,5,1,0,0,53.39,58.64,52,1,1,27,51.9,100.0,80.8,3.8,0.0,0.0,1
IT02,F8,IT,F,9,4,delfino,images,6,0,0,0,60.14,68.15,81,1,1,55,67.9,90.1,80.2,0.0,6.2,3.7,1
IT02,F8,IT,F,9,4,delfino,images,7,0,0,0,50.05,60.74,106,1,1,73,68.9,92.5,65.1,11.3,6.6,0.9,1
IT02,F8,IT,F,9,4,delfino,images,8,1,0,0,73.98,77.82,38,1,1,20,52.6,100.0,39.5,44.7,0.0,0.0,1
IT02,F8,IT,F,9,4,delfino,images,9,1,0,0,77.52,94.59,171,1,1,94,55.0,93.0,48.5,19.9,4.7,2.3,1
IT02,F8,IT,F,9,4,delfino,images,10,1,0,0,102.18,107.86,57,1,1,25,43.9,100.0,38.6,22.8,0.0,0.0,1
IT02,F8,IT,F,9,4,delfino,images,11,1,0,0,124.37,131.99,76,1,1,23,30.3,63.2,11.8,27.6,31.6,5.3,1
IT02,F8,IT,F,9,4,delfino,images,12,1,0,0,135.43,140.76,54,1,1,12,22.2,79.6,59.3,5.6,18.5,1.9,1
IT02,F8,IT,F,9,4,delfino,images,13,1,0,1,15.86,22.31,64,1,1,37,57.8,100.0,60.9,31.2,0.0,0.0,1
IT02,F8,IT,F,9,4,panda,text,1,1,0,0,5.34,12.95,75,1,1,0,0.0,2.7,0.0,0.0,6.7,90.7,0
IT02,F8,IT,F,9,4,panda,text,2,0,0,0,25.17,33.66,85,1,1,4,4.7,9.4,5.9,0.0,5.9,84.7,1
IT02,F8,IT,F,9,4,panda,text,3,1,0,0,42.61,52.94,94,1,1,0,0.0,0.0,0.0,0.0,1.1,98.9,0
IT02,F8,IT,F,9,4,panda,text,4,1,0,0,52.04,59.78,78,1,1,0,0.0,0.0,0.0,0.0,0.0,100.0,0
IT02,F8,IT,F,9,4,panda,text,5,1,0,0,53.79,62.63,88,1,1,0,0.0,0.0,0.0,0.0,0.0,100.0,0
IT02,F8,IT,F,9,4,panda,text,6,1,0,0,32.24,38.77,65,1,1,0,0.0,1.5,1.5,0.0,0.0,98.5,0
IT02,F8,IT,F,9,4,panda,text,7,1,0,0,64.78,74.12,93,1,1,1,1.1,4.3,1.1,0.0,0.0,95.7,1
IT02,F8,IT,F,9,4,panda,text,8,1,0,0,73.28,79.9,66,1,1,1,1.5,16.7,4.5,0.0,0.0,83.3,1
IT02,F8,IT,F,9,4,panda,text,9,1,0,0,84.54,91.09,66,1,1,2,3.0,9.1,3.0,0.0,3.0,87.9,1
IT02,F8,IT,F,9,4,panda,text,10,1,0,0,77.81,85.96,81,1,1,0,0.0,0.0,0.0,0.0,0.0,100.0,0
IT02,F8,IT,F,9,4,panda,text,11,1,0,0,11.61,21.35,97,1,1,2,2.1,9.3,3.1,0.0,0.0,90.7,1
IT02,F8,IT,F,9,4,panda,text,12,1,0,0,96.05,104.1,81,1,1,2,2.5,3.7,2.5,0.0,0.0,96.3,1
IT03,F9,IT,F,9,4,delfino,images,1,0,0,0,4.68,9.69,50,1,1,27,54.0,94.0,28.0,28.0,4.0,2.0,1
IT03,F9,IT,F,9,4,delfino,images,2,0,0,0,29.66,38.75,90,1,1,47,52.2,88.9,44.4,20.0,11.1,0.0,1
IT03,F9,IT,F,9,4,delfino,images,3,0,0,0,24.49,33.5,90,1,1,45,50.0,92.2,44.4,16.7,7.8,0.0,1
IT03,F9,IT,F,9,4,delfino,images,4,0,0,0,39.07,46.82,77,1,1,21,27.3,92.2,33.8,3.9,0.0,7.8,1
IT03,F9,IT,F,9,4,delfino,images,5,1,0,0,53.39,58.64,52,1,1,19,36.5,75.0,44.2,7.7,13.5,11.5,1
IT03,F9,IT,F,9,4,delfino,images,6,1,0,0,60.14,68.15,80,1,1,36,45.0,77.5,52.5,7.5,20.0,2.5,1
IT03,F9,IT,F,9,4,delfino,images,7,0,1,0,50.05,60.74,107,1,1,45,42.1,74.8,33.6,12.1,19.6,5.6,1
IT03,F9,IT,F,9,4,delfino,images,8,0,1,0,73.98,77.82,38,1,1,0,0.0,100.0,21.1,5.3,0.0,0.0,0
IT03,F9,IT,F,9,4,delfino,images,9,0,1,0,77.52,94.59,171,1,1,24,14.0,27.5,15.2,2.3,53.8,18.7,1
IT03,F9,IT,F,9,4,delfino,images,10,0,1,0,102.18,107.86,57,1,1,13,22.8,31.6,21.1,1.8,52.6,15.8,1
IT03,F9,IT,F,9,4,delfino,images,11,0,1,0,124.37,131.99,67,1,1,28,41.8,98.5,22.4,29.9,0.0,1.5,1
IT03,F9,IT,F,9,4,delfino,images,12,0,1,0,135.43,140.76,54,1,1,11,20.4,100.0,50.0,13.0,0.0,0.0,1
IT03,F9,IT,F,9,4,delfino,images,13,0,1,1,15.86,22.31,65,1,1,21,32.3,78.5,61.5,4.6,16.9,4.6,1
IT03,F9,IT,F,9,4,panda,text,1,0,0,0,5.34,12.95,77,1,1,47,61.0,96.1,81.8,0.0,3.9,0.0,1
IT03,F9,IT,F,9,4,panda,text,2,1,0,0,25.17,33.66,85,1,1,57,67.1,87.1,83.5,0.0,12.9,0.0,1
IT03,F9,IT,F,9,4,panda,text,3,1,0,0,42.61,52.94,103,1,1,74,71.8,100.0,81.6,0.0,0.0,0.0,1
IT03,F9,IT,F,9,4,panda,text,4,0,0,0,52.04,59.78,78,1,1,53,67.9,100.0,83.3,0.0,0.0,0.0,1
IT03,F9,IT,F,9,4,panda,text,5,0,0,0,53.79,62.63,88,1,1,55,62.5,95.5,76.1,0.0,4.5,0.0,1
IT03,F9,IT,F,9,4,panda,text,6,0,0,0,32.24,38.77,66,1,1,43,65.2,100.0,93.9,0.0,0.0,0.0,1
