newid,mod,storia,good,quartile,pct_caption,pct_face,pct_none
TI01,text,volpe e boscaiolo,True,1,64.55026455026454,33.33333333333333,2.1164021164021163
TI01,text,volpe e boscaiolo,True,2,67.02127659574468,30.319148936170215,2.6595744680851063
TI01,text,volpe e boscaiolo,True,3,61.49732620320856,37.967914438502675,0.53475935828877
TI01,text,volpe e boscaiolo,True,4,55.61497326203209,42.24598930481284,2.13903743315508
TI01,images,tappeto,True,1,75.29411764705883,24.705882352941178,0.0
TI01,images,tappeto,True,2,86.30952380952381,13.095238095238097,0.5952380952380952
TI01,images,tappeto,True,3,97.61904761904762,2.380952380952381,0.0
TI01,images,tappeto,True,4,100.0,0.0,0.0
TI02,text,volpe e boscaiolo,True,1,53.96825396825397,35.978835978835974,10.052910052910052
TI02,text,volpe e boscaiolo,True,2,52.12765957446809,31.382978723404253,16.48936170212766
TI02,text,volpe e boscaiolo,True,3,71.12299465240642,15.508021390374333,13.368983957219251
TI02,text,volpe e boscaiolo,True,4,80.31914893617021,14.893617021276595,4.787234042553192
TI02,images,tappeto,True,1,76.19047619047619,19.642857142857142,4.166666666666666
TI02,images,tappeto,True,2,95.83333333333334,3.571428571428571,0.5952380952380952
TI02,images,tappeto,True,3,88.09523809523809,11.904761904761903,0.0
TI02,images,tappeto,True,4,100.0,0.0,0.0
TI03,text,anguille,True,1,61.904761904761905,36.19047619047619,1.9047619047619049
TI03,text,anguille,True,2,93.31210191082803,5.095541401273886,1.5923566878980893
TI03,text,anguille,True,3,85.62300319488818,10.86261980830671,3.5143769968051117
TI03,text,anguille,True,4,79.55271565495208,19.488817891373802,0.9584664536741214
TI04,text,volpe e boscaiolo,True,1,52.406417112299465,42.24598930481284,5.347593582887701
TI04,text,volpe e boscaiolo,True,2,65.95744680851064,32.4468085106383,1.5957446808510638
TI04,text,volpe e boscaiolo,True,3,40.106951871657756,55.080213903743314,4.81283422459893
TI04,text,volpe e boscaiolo,True,4,38.82978723404255,53.72340425531915,7.446808510638298
TI03,images,orso,True,1,82.85714285714286,14.761904761904763,2.380952380952381
TI03,images,orso,True,2,93.54066985645933,5.741626794258373,0.7177033492822966
TI03,images,orso,True,3,97.36842105263158,2.15311004784689,0.4784688995215311
TI03,images,orso,True,4,91.28329297820824,6.2953995157385,2.4213075060532687
TI05,text,volpe e boscaiolo,False,1,39.77272727272727,47.72727272727273,12.5
TI05,text,volpe e boscaiolo,False,3,0.0,96.55172413793103,3.4482758620689653
TI05,text,volpe e boscaiolo,False,4,100.0,0.0,0.0
TI04,images,tappeto,True,1,65.47619047619048,25.0,9.523809523809524
